product_category_name,Số đơn,Tổng doanh thu,TB doanh thu,Độ lệch chuẩn,Min,Max
"casa_construcao,construcao_ferramentas_iluminacao",1,319.99,319.99,,319.99,319.99
"cool_stuff,utilidades_domesticas",1,308.8,308.8,,308.8,308.8
"automotivo,telefonia",3,305.17,101.72,76.16,52.98,189.49
"brinquedos,construcao_ferramentas_construcao",1,304.9,304.9,,304.9,304.9
"automotivo,moveis_decoracao",2,304.54,152.27,67.34,104.65,199.89
"cool_stuff,nan",1,299.0,299.0,,299.0,299.0
"moveis_decoracao,nan",2,289.35,144.68,123.35,57.45,231.9
"brinquedos,instrumentos_musicais",1,285.8,285.8,,285.8,285.8
"cama_mesa_banho,construcao_ferramentas_jardim",1,284.9,284.9,,284.9,284.9
seguros_e_servicos,2,283.29,141.64,58.89,100.0,183.29
"automotivo,ferramentas_jardim",2,281.58,140.79,43.83,109.8,171.78
"papelaria,relogios_presentes",2,278.0,139.0,66.47,92.0,186.0
"alimentos_bebidas,utilidades_domesticas",2,271.9,135.95,18.31,123.0,148.9
"casa_construcao,construcao_ferramentas_jardim",1,269.85,269.85,,269.85,269.85
"ferramentas_jardim,malas_acessorios",1,268.9,268.9,,268.9,268.9
"eletronicos,perfumaria",2,267.6,133.8,93.62,67.6,200.0
"casa_construcao,ferramentas_jardim,moveis_decoracao",1,266.9,266.9,,266.9,266.9
"cama_mesa_banho,moveis_sala",2,261.79,130.89,8.48,124.9,136.89
"fashion_bolsas_e_acessorios,papelaria",2,261.59,130.79,79.19,74.8,186.79
"bebes,relogios_presentes",1,260.9,260.9,,260.9,260.9
"construcao_ferramentas_jardim,nan",3,259.05,86.35,1.73,85.35,88.35
"moveis_decoracao,papelaria",2,258.83,129.42,56.02,89.8,169.03
"eletronicos,moveis_decoracao",2,253.47,126.74,88.17,64.39,189.08
"cama_mesa_banho,casa_conforto,moveis_decoracao",1,249.85,249.85,,249.85,249.85
"automotivo,relogios_presentes",1,249.8,249.8,,249.8,249.8
"informatica_acessorios,moveis_decoracao",1,249.4,249.4,,249.4,249.4
"bebes,malas_acessorios",1,249.33,249.33,,249.33,249.33
"beleza_saude,malas_acessorios",2,244.99,122.5,129.41,30.99,214.0
